Bestand,Name,ISIN,WKN,Typ,Datum,Zeit,Akt. Geldkurs,Akt. Geldkurs Currency,Boerse,Kaufkurs,Kaufkurs Currency,Kaufwert,Kaufwert Currency,Gesamtperformance,Gesamtperformance Currency,%,Tagesperformance,Tagesperformance Currency,%,Aktueller Wert,Aktueller Wert Currency,Wert,Wert Currency,,,,,,,,,
34.1679,AIS PDJIA UETFD,LU2572256662,ETF009,ETF,27.10.2023,21:55:39,362,4000,EUR,Stuttgart,301.39,3931,EUR,10.297,97,EUR,2.084,48,EUR,20,24 %,-165,714,EUR,-1,32 %,12.382,45,EUR,12.382,45,EUR
48.1347,ISHS AGE ETF USD-AC,IE00BYZK4669,A2ANH1,ETF,27.10.2023,21:55:20,5,5370,EUR,Stuttgart,6.11,1079,EUR,294,0,EUR,-27,48,EUR,-9,35 %,-2,984,EUR,-1,11 %,266,52,EUR,266,52,EUR
93.9516,ISHS CR WD USD-AC,IE00B4L5Y983,A0RPWH,ETF,27.10.2023,21:56:12,73,6380,EUR,Duesseldorf,74.76,7619,EUR,7.024,0,EUR,-105,59,EUR,-1,50 %,-37,17,EUR,0,53 %,6.918,41,EUR,6.918,41,EUR
2216.9777,ISHS GLO CLN EN USD,IE00B1XNHC34,A0MW0M,ETF,27.10.2023,21:55:34,7,170,EUR,Stuttgart,12.28,2827,EUR,27.23,47,EUR,-11.673,94,EUR,-42,87 %,-458,914,EUR,-2,87 %,15.556,53,EUR,15.556,53,EUR
691.6759,ISHS MSCI EM USD,IE00B0M63177,A0HGWC,ETF,27.10.2023,21:55:05,33,3910,EUR,Stuttgart,38.13,1302,EUR,26.373,71,EUR,-3.277,96,EUR,-12,43 %,-75,393,EUR,0,33 %,23.095,75,EUR,23.095,75,EUR
92.4428,LYX CDDR ID,LU0378438732,ETF001,ETF,27.10.2023,21:55:29,114,7800,EUR,Stuttgart,120.92,9222,EUR,11.178,39,EUR,-567,81,EUR,-5,08 %,-64,71,EUR,0,61 %,10.61,58,EUR,10.61,58,EUR
99.589,MUF-AM WII UE D,FR0010315770,LYX0AG,ETF,27.10.2023,21:55:09,258,1600,EUR,Stuttgart,238.85,8465,EUR,23.786,48,EUR,1.923,42,EUR,8,09 %,-168,505,EUR,0,65 %,25.709,90,EUR,25.709,90,EUR
90,SSGA 10+ YR EUR,IE00BYSZ6062,A2ACRK,ETF,27.10.2023,21:55:41,22,1200,EUR,Stuttgart,35.18,1780,EUR,3.166,2,EUR,-1.175,22,EUR,-37,12 %,3,42,EUR,0,17 %,1.99,80,EUR,1.99,80,EUR
54,SSGA EU CORP BD EUR,IE00B3T9LM79,A1JJTQ,ETF,27.10.2023,21:55:07,50,4750,EUR,Stuttgart,57.55,5509,EUR,3.107,75,EUR,-382,10,EUR,-12,30 %,3,51,EUR,0,13 %,2.725,65,EUR,2.725,65,EUR
99,UBSL MSCI WSR AD,LU0629459743,A1JA1R,ETF,27.10.2023,21:55:36,115,1800,EUR,Stuttgart,101.1,990,EUR,10.008,80,EUR,1.394,2,EUR,13,93 %,-85,14,EUR,0,74 %,11.402,82,EUR,11.402,82,EUR
14,XTR2 IB GCBS 1CC,LU0321463506,DBX0AX,ETF,27.10.2023,21:55:13,174,1000,EUR,Stuttgart,200.1,1000,EUR,2.801,40,EUR,-364,0,EUR,-12,99 %,4,62,EUR,0,19 %,2.437,40,EUR,2.437,40,EUR
,,,,,,,,GESAMTSUMME,,125.268,99,EUR,,,-12.172,18,EUR,-9,717 %,-1.046,83,EUR,0,917 %,113.096,81,EUR,,,,,
